Update: 2017-05-03

### Animated/Reactive furnitures only on this data (swf)

ID	Category	No.	Name	Filename	Version
6	0	5	砂浜の床	006	1
23	0	22	雪原の床	023	1
161	4	28	「加賀」模型と桐箪笥	029	2
186	5	22	提督の麻雀卓	023	3
199	5	35	温泉檜風呂	036	7
206	3	34	大きな古時計	035	5
211	2	32	鎮守府風鈴	033	4
215	2	33	花火の窓	034	5
216	5	41	ビニールプール	042	1
217	5	42	秋刀魚の食卓	043	1
218	5	43	ジュークボックス	044	3
222	4	34	ジュークボックス改	035	1
230	2	35	鎮守府カウンターバー	036	29
235	3	41	武蔵の掛け軸	042	2
239	4	37	脱衣所	038	2
240	5	49	温泉岩風呂	050	7
244	2	36	梅雨の緑カーテン窓	037	1
247	3	44	「300万の感謝」掛け軸	045	1
248	5	51	水風呂	052	1
257	5	53	鎮守府秋祭りの屋台	054	2
258	5	54	鎮守府秋祭りの射的	055	2
262	5	55	鎮守府秋刀魚祭り	056	1
265	3	51	夜のお詫び掛け軸(壱)	052	1
266	3	52	夜のお詫び掛け軸(弐)	053	1
271	5	57	年末年始の提督大奮発	058	8
279	5	60	提督の作る食卓	061	1
280	3	59	「春の乙型姉妹」パネル	060	1
283	2	40	卯月の窓	041	2
284	3	60	卯月の掛け軸	061	1
285	5	61	卯月の机	062	1
286	3	61	「三周年記念」掛け軸	062	1
297	0	41	藤と水面の床	042	1
310	0	44	波打ち際の砂浜床	045	1
311	2	43	鎮守府夏時間の窓	044	1
313	2	44	すすきの窓	045	2
314	3	64	一六式大漁旗	065	2
317	5	68	鎮守府囲炉裏	069	1
318	2	45	ラヂオの窓	046	1
319	2	46	ラヂオと高級職人窓	047	1
328	5	72	節分の原稿机	073	1
333	2	47	如月の窓	048	1
334	4	47	潜水空母な桐箪笥	048	1
336	2	48	弥生の窓	049	1
342	3	70	桜の和のアレンジメント	071	3
343	3	71	「四周年記念」掛け軸	072	1
