Update: 2018-07-12

### Global/Boss BGM : [Day bgm],[Night bgm]

ID	MapArea ID	Map No.	Map BGM	Global BGM	Boss BGM
11	1	1	116	1,2	2,2
12	1	2	116	1,2	2,2
13	1	3	116	1,2	117,117
14	1	4	116	117,2	12,12
15	1	5	116	7,13	37,37
16	1	6	116	37,13	37,13
21	2	1	14	1,2	30,30
22	2	2	14	8,2	46,46
23	2	3	116	118,2	3,3
24	2	4	103	31,2	4,5
25	2	5	94	11,31	27,21
31	3	1	90	19,2	19,19
32	3	2	90	29,2	11,11
33	3	3	90	11,2	3,3
34	3	4	90	8,4	4,5
35	3	5	57	19,3	13,6
41	4	1	95	118,2	8,8
42	4	2	95	30,2	9,9
43	4	3	95	39,2	10,10
44	4	4	98	12,4	44,44
45	4	5	98	94,40	40,41
51	5	1	45	13,2	3,3
52	5	2	45	12,12	10,10
53	5	3	45	4,5	52,54
54	5	4	51	4,5	22,49
55	5	5	48	118,5	49,50
61	6	1	51	20,20	6,21
62	6	2	51	70,9	73,73
63	6	3	65	8,3	4,5
64	6	4	43	38,4	41,41
65	6	5	74	118,75	68,68
