Update: 2016-10-05

### Cell type
0	Start position
1	(Not exists)
2	Get items
3	Lost materials (Whirling tides)
4	Normal battle
5	Boss Battle
6	No battle or Route select
7	Air-raid battle
8	Convoy escort success
9	Air reconnaissance
10	Long-distance air-raid battle

### Cell type - No battle
## Value 6 is in "api_req_map/start" and "api_req_map/next".
## In "api_start2", Value 6 will be displayed to 4.

ID	MapArea ID	Map No.	Cell No.	Cell type
1	1	1	0	0
2	1	1	1	4
3	1	1	2	4
4	1	1	3	5
5	1	2	0	0
6	1	2	1	4
7	1	2	2	2
8	1	2	3	5
9	1	2	4	4
10	1	3	0	0
11	1	3	1	4
12	1	3	2	3
13	1	3	3	2
14	1	3	4	2
15	1	3	5	4
16	1	3	6	4
17	1	3	7	5
18	1	3	8	2
19	1	3	9	4
20	1	4	0	0
21	1	4	1	4
22	1	4	2	4
23	1	4	3	2
24	1	4	4	2
25	1	4	5	2
26	1	4	6	2
27	1	4	7	4
28	1	4	8	4
29	1	4	9	4
30	1	4	10	5
31	1	4	11	2
32	1	4	12	5
33	1	4	13	5
34	2	1	0	0
35	2	1	1	4
36	2	1	2	2
37	2	1	3	2
38	2	1	4	4
39	2	1	5	4
40	2	1	6	5
41	2	2	0	0
42	2	2	1	4
43	2	2	2	2
44	2	2	3	2
45	2	2	4	4
46	2	2	5	2
47	2	2	6	4
48	2	2	7	5
49	2	2	8	2
50	2	3	0	0
51	2	3	1	4
52	2	3	2	2
53	2	3	3	4
54	2	3	4	2
55	2	3	5	4
56	2	3	6	2
57	2	3	7	2
58	2	3	8	2
59	2	3	9	4
60	2	3	10	4
61	2	3	11	5
62	2	3	12	2
63	2	4	0	0
64	2	4	1	4
65	2	4	2	2
66	2	4	3	4
67	2	4	4	2
68	2	4	5	4
69	2	4	6	4
70	2	4	7	2
71	2	4	8	4
72	2	4	9	2
73	2	4	10	4
74	2	4	11	4
75	2	4	12	4
76	2	4	13	4
77	2	4	14	4
78	2	4	15	4
79	2	4	16	5
80	2	4	17	5
81	2	4	18	5
82	2	4	19	4
83	3	1	0	0
84	3	1	1	4
85	3	1	2	4
86	3	1	3	4
87	3	1	4	2
88	3	1	5	4
89	3	1	6	5
90	3	2	0	0
91	3	2	1	4
92	3	2	2	4
93	3	2	3	3
94	3	2	4	4
95	3	2	5	2
96	3	2	6	4
97	3	2	7	2
98	3	2	8	5
99	3	2	9	2
100	3	2	10	4
101	3	3	0	0
102	3	3	1	4
103	3	3	2	3
104	3	3	3	4
105	3	3	4	3
106	3	3	5	4
107	3	3	6	3
108	3	3	7	4
109	3	3	8	4
110	3	3	9	2
111	3	3	10	2
112	3	3	11	5
113	3	3	12	4
114	3	3	13	5
115	3	4	0	0
116	3	4	1	4
117	3	4	2	4
118	3	4	3	3
119	3	4	4	4
120	3	4	5	4
121	3	4	6	4
122	3	4	7	2
123	3	4	8	2
124	3	4	9	3
125	3	4	10	4
126	3	4	11	4
127	3	4	12	4
128	3	4	13	4
129	3	4	14	2
130	3	4	15	5
131	3	4	16	4
132	3	4	17	4
133	3	4	18	4
134	3	4	19	4
135	3	4	20	5
136	4	1	0	0
137	4	1	1	4
138	4	1	2	4
139	4	1	3	4
140	4	1	4	2
141	4	1	5	4
142	4	1	6	4
143	4	1	7	4
144	4	1	8	4
145	4	1	9	5
146	4	1	10	4
147	4	1	11	4
148	4	1	12	5
149	4	2	0	0
150	4	2	1	4
151	4	2	2	4
152	4	2	3	3
153	4	2	4	2
154	4	2	5	2
155	4	2	6	4
156	4	2	7	4
157	4	2	8	4
158	4	2	9	5
159	4	2	10	2
160	4	2	11	4
161	4	2	12	4
162	4	2	13	5
163	4	3	0	0
164	4	3	1	4
165	4	3	2	4
166	4	3	3	2
167	4	3	4	4
168	4	3	5	4
169	4	3	6	3
170	4	3	7	4
171	4	3	8	4
172	4	3	9	4
173	4	3	10	3
174	4	3	11	2
175	4	3	12	4
176	4	3	13	5
177	4	3	14	4
178	4	3	15	4
179	4	3	16	4
180	4	3	17	4
181	4	3	18	4
182	4	3	19	4
183	4	3	20	4
184	4	3	21	3
185	4	4	0	0
186	4	4	1	4
187	4	4	2	3
188	4	4	3	4
189	4	4	4	4
190	4	4	5	4
191	4	4	6	2
192	4	4	7	4
193	4	4	8	4
194	4	4	9	2
195	4	4	10	5
196	4	4	11	4
197	4	4	12	4
198	4	4	13	4
199	4	4	14	4
200	5	1	0	0
201	5	1	1	3
202	5	1	2	4
203	5	1	3	4
204	5	1	4	2
205	5	1	5	4
206	5	1	6	4
207	5	1	7	4
208	5	1	8	2
209	5	1	9	5
210	5	1	10	4
211	5	1	11	4
212	5	1	12	4
213	5	2	0	0
214	5	2	1	4
215	5	2	2	4
216	5	2	3	4
217	5	2	4	4
218	5	2	5	2
219	5	2	6	4
220	5	2	7	4
221	5	2	8	2
222	5	2	9	4
223	5	2	10	5
224	5	2	11	4
225	5	2	12	2
226	5	2	13	4
227	5	2	14	5
228	5	3	0	0
229	5	3	1	4
230	5	3	2	4
231	5	3	3	4
232	5	3	4	4
233	5	3	5	4
234	5	3	6	4
235	5	3	7	2
236	5	3	8	2
237	5	3	9	4
238	5	3	10	4
239	5	3	11	5
240	5	3	12	4
241	5	3	13	4
242	5	3	14	4
243	5	4	0	0
244	5	4	1	4
245	5	4	2	4
246	5	4	3	4
247	5	4	4	4
248	5	4	5	4
249	5	4	6	4
250	5	4	7	4
251	5	4	8	3
252	5	4	9	4
253	5	4	10	4
254	5	4	11	2
255	5	4	12	4
256	5	4	13	4
257	5	4	14	4
258	5	4	15	5
259	5	4	16	4
260	5	4	17	4
261	5	4	18	2
262	5	4	19	5
263	5	4	20	5
264	5	5	0	0
265	5	5	1	4
266	5	5	2	4
267	5	5	3	4
268	5	5	4	4
269	5	5	5	4
270	5	5	6	4
271	5	5	7	4
272	5	5	8	2
273	5	5	9	4
274	5	5	10	4
275	5	5	11	4
276	5	5	12	4
277	5	5	13	4
278	5	5	14	5
279	5	5	15	4
280	5	5	16	4
281	5	5	17	4
282	5	5	18	5
283	1	5	0	0
284	1	5	1	4
285	1	5	2	4
