Update: 2017-11-18

### Sally Flag : Fleet organizing flag
[1, 0]	Single fleet
[0, n]	Combined fleets

### n: Bit flag
1	Surface Task Force
2	Carrier Task Force
4	Transport Escort

ID	MapArea ID	Map No.	Name	Level	Operation Name	Items	Map Hp	Required defeat count	Sally Flag
11	1	1	鎮守府正面海域	1	近海警備	0,0,0,0			1,0
12	1	2	南西諸島沖	1	南西諸島沖警備	32,0,0,0			1,0
13	1	3	製油所地帯沿岸	2	海上護衛作戦	31,0,0,0			1,0
14	1	4	南西諸島防衛線	3	南1号作戦	33,34,32,0			1,0
15	1	5	鎮守府近海	5	鎮守府近海対潜哨戒	0,0,0,0		4	1,0
16	1	6	鎮守府近海航路	5	輸送船団護衛作戦	31,32,33,34		7	1,0
21	2	1	カムラン半島	3	カ号迎撃戦	33,2,0,0			1,0
22	2	2	バシー島沖	4	柳輸送作戦	34,2,0,0			1,0
23	2	3	東部オリョール海	5	O1号作戦	31,32,0,0			1,0
24	2	4	沖ノ島海域	6	あ号艦隊決戦	32,31,1,3			1,0
25	2	5	沖ノ島沖	8	沖ノ島沖戦闘哨戒	31,33,0,0		4	1,0
31	3	1	モーレイ海	4	モーレイ海哨戒	33,0,0,0			1,0
32	3	2	キス島沖	5	キス島撤退作戦	33,10,0,0			1,0
33	3	3	アルフォンシーノ方面	7	アルフォンシーノ方面進出	11,12,0,0			1,0
34	3	4	北方海域全域	9	北方海域艦隊決戦	34,11,12,0			1,0
35	3	5	北方AL海域	9	北方海域戦闘哨戒	32,0,0,0		4	1,0
41	4	1	ジャム島攻略作戦	5	ジャム島攻略作戦	31,0,0,0			1,0
42	4	2	カレー洋制圧戦	6	カレー洋制圧戦	33,0,0,0			1,0
43	4	3	リランカ島空襲	7	リランカ島空襲	31,34,0,0			1,0
44	4	4	カスガダマ沖海戦	8	カスガダマ沖海戦	31,33,0,0		4	1,0
45	4	5	カレー洋リランカ島沖	9	深海東洋艦隊漸減作戦	0,0,0,0		5	1,0
51	5	1	南方海域前面	8	南方海域進出作戦	33,31,0,0			1,0
52	5	2	珊瑚諸島沖	9	珊瑚諸島沖海戦	34,0,0,0		4	1,0
53	5	3	サブ島沖海域	9	第一次サーモン沖海戦	31,32,0,0		5	1,0
54	5	4	サーモン海域	9	東京急行	31,0,0,0		5	1,0
55	5	5	サーモン海域北方	9	第二次サーモン海戦	32,0,0,0		5	1,0
61	6	1	中部海域哨戒線	8	潜水艦作戦	0,0,0,0			1,0
62	6	2	MS諸島沖	9	MS諸島防衛戦	0,0,0,0		3	1,0
63	6	3	グアノ環礁沖海域	7	K作戦	34,32,0,0		4	1,0
64	6	4	中部北海域ピーコック島沖	9	離島再攻略作戦	0,0,0,0		5	1,0
65	6	5	KW環礁沖海域	13	空母機動部隊迎撃戦	0,0,0,0		6	1,0
401	40	1	奄美群島沖/台湾沖	7	第二遊撃部隊、抜錨！	32,33,0,0	300		1,0,0
402	40	2	台湾沖/ルソン島沖	9	捷一号作戦、発動準備	0,0,0,0	300		1,0,1
403	40	3	捷一号作戦 作戦海域	13	捷一号作戦、作戦発動！	0,0,0,0	300		0,7,0
404	40	4	スリガオ海峡沖	16	あの海峡の先へ――	0,0,0,0	300		1,7,1
