Update: 2017-10-18

### Return Flag : Can cancel?

ID	MapArea ID	Name	Time (mins)	Difficulty	Use fuels	Use ammos	Win item 1	Win item 2	Return flag
1	1	練習航海	15	1	0.3	0	0,0	0,0	1
2	1	長距離練習航海	30	1	0.5	0	1,1	0,0	1
3	1	警備任務	20	2	0.3	0.2	0,0	0,0	1
4	1	対潜警戒任務	50	2	0.5	0	1,1	10,1	1
5	1	海上護衛任務	90	3	0.5	0	0,0	0,0	1
6	1	防空射撃演習	40	3	0.3	0.2	10,1	0,0	1
7	1	観艦式予行	60	3	0.5	0	2,1	0,0	1
8	1	観艦式	180	4	0.5	0.2	2,2	3,1	1
9	2	タンカー護衛任務	240	3	0.5	0	10,1	1,2	1
10	2	強行偵察任務	90	3	0.3	0	1,1	2,1	1
11	2	ボーキサイト輸送任務	300	4	0.5	0	10,1	1,1	1
12	2	資源輸送任務	480	4	0.5	0	11,1	3,1	1
13	2	鼠輸送作戦	240	5	0.5	0.4	1,2	10,1	1
14	2	包囲陸戦隊撤収作戦	360	5	0.5	0	1,1	3,1	1
15	2	囮機動部隊支援作戦	720	6	0.5	0.4	12,1	3,1	1
16	2	艦隊決戦援護作戦	900	6	0.5	0.4	2,2	3,2	1
17	3	敵地偵察作戦	45	5	0.3	0.4	0,0	0,0	1
18	3	航空機輸送作戦	300	6	0.5	0.2	1,1	0,0	1
19	3	北号作戦	360	6	0.5	0.4	10,1	3,1	1
20	3	潜水艦哨戒任務	120	6	0.5	0.4	3,1	10,1	1
21	3	北方鼠輸送作戦	140	6	0.8	0.7	10,1	0,0	1
22	3	艦隊演習	180	7	0.8	0.7	0,0	0,0	1
23	3	航空戦艦運用演習	240	8	0.8	0.8	0,0	0,0	1
24	3	北方航路海上護衛	500	8	0.9	0.6	3,2	1,1	1
25	4	通商破壊作戦	2400	7	0.5	0.8	0,0	0,0	1
26	4	敵母港空襲作戦	4800	7	0.8	0.8	1,3	0,0	1
27	4	潜水艦通商破壊作戦	1200	8	0.8	0.8	3,1	10,2	1
28	4	西方海域封鎖作戦	1500	8	0.8	0.8	3,2	11,2	1
29	4	潜水艦派遣演習	1440	8	0.9	0.4	3,1	10,1	1
30	4	潜水艦派遣作戦	2880	8	0.9	0.7	3,3	0,0	1
31	4	海外艦との接触	120	8	0.5	0	10,1	0,0	1
32	4	遠洋練習航海	1440	2	0.9	0.3	12,1	3,3	1
33	5	前衛支援任務	15	1	0.5	0.8	0,0	0,0	0
34	5	艦隊決戦支援任務	30	1	0.5	0.8	0,0	0,0	0
35	5	MO作戦	420	7	0.8	0.8	10,2	3,1	1
36	5	水上機基地建設	540	8	0.8	0.8	11,2	1,1	1
37	5	東京急行	165	7	0.8	0.8	10,1	0,0	1
38	5	東京急行(弐)	175	8	0.8	0.8	10,1	0,0	1
39	5	遠洋潜水艦作戦	1800	7	0.9	0.9	1,2	11,1	1
40	5	水上機前線輸送	410	8	0.8	0.7	10,3	1,1	1
100	1	兵站強化任務	25	2	0.35	0	0,0	0,0	1
101	1	海峡警備行動	55	3	0.5	0.2	3,1	1,1	1
102	1	長時間対潜警戒	135	4	0.65	0.35	1,1	3,2	1
