Update: 2017-03-19

### Packed items : [Fuel],[Ammo],[Steel],[Bauxite],[Instance Build],[Instance Repair],[Dev. Material],[Dock Key]

ID	Type	Name	Packed items	Price	Description
1	0	燃料パック200	200,0,0,0,0,0,0,0	100	補給のお供！燃料パック<br>(燃料を200回復させます)
2	0	弾薬パック200	0,200,0,0,0,0,0,0	100	補給のお供！弾薬パック<br>(弾薬を200回復させます)
3	0	鋼材パック150	0,0,150,0,0,0,0,0	100	艦の建造に！鋼材パック<br>(鋼材を150回復させます)
4	0	ボーキサイトパック100	0,0,0,100,0,0,0,0	100	航空機関連にボーキサイトパック(ボーキサイトを100回復させます)
5	0	開発資材パック7	0,0,0,0,0,0,7,0	500	建造・開発をバリバリどうぞ！<br>開発資材パック(7回分)
6	0	高速建造材パック5	0,0,0,0,5,0,0,0	300	建造時間を劇的に短縮！<br>高速建造材パック(5回分)
7	0	高速修復材パック5	0,0,0,0,0,5,0,0	300	修理、お待たせしません！<br>高速修復材パック(5回分)
8	0	お買得！工廠セット	200,200,1500,200,0,0,2,0	700	お買得！工廠セット(鋼1500，ボ200，弾200，燃200，開発資材2)
9	0	お買得！出撃セット	500,500,200,0,0,2,0,0	300	お買得！出撃セット(燃500，弾500，鋼200，高速修復材2)
10	0	ドック増設セット	0,0,0,0,5,5,5,0	1000	ドック増設セット(鍵1，開発資材5，高速建造5，高速修復5)
11	0	応急修理要員	0,0,0,0,0,0,0,0	200	大切な艦を轟沈から護ります！<br>応急修理要員(1回分)
12	0	ダメコン特盛セット	0,0,0,0,0,0,0,0	1000	期間限定！ダメコン特盛セット(応急修理女神2，応急修理要員3)
13	0	八八資源セット	880,880,880,880,0,0,0,0	900	期間限定！八八資源セット(燃880，弾880，鋼880，ボ880)
14	0	応急修理女神	0,0,0,0,0,0,0,0	500	轟沈を防ぎ耐久補給全回復！<br>応急修理女神(1回分)
15	0	特注家具職人	0,0,0,0,0,0,0,0	300	特注家具を製作できます！<br>特注家具職人(1回分)
16	0	母港拡張	0,0,0,0,0,0,0,0	1000	母港拡張 艦隊の艦娘保有数を+10隻分拡張できます！<br>※ご注意※ 最大計320隻まで！ 装備枠も自動的に+40増加します。
17	0	タンカー徴用	1000,0,0,0,0,0,0,0	300	油の一滴は…燃料不足解消に！<br>タンカー徴用(燃1000)
18	0	給糧艦「間宮」	0,0,0,0,0,0,0,0	300	給糧艦「間宮」召喚 艦娘の疲れた心を食糧や甘味でたちまち回復(1艦隊1回分)
19	0	アルミ大量産	0,0,0,550,0,0,0,0	300	ジュラルミンは航空機の源！<br>アルミ大増産(ボ550)
20	0	書類一式＆指輪	0,0,0,0,0,0,0,0	700	レベルが99になった艦娘とケッコンカッコカリ！<br>書類一式＆指輪(1回分)
21	0	艦娘へのクッキー	0,0,314,314,0,0,2,0	500	ホワイトデー特別アイテム、「艦娘へのクッキー」 ※「間宮」券付です！<br>(鋼材314，ボーキ314，開発資材2)
22	0	改修資材パック10	0,0,0,0,0,0,0,10	700	明石さんの「改修工廠」で、装備を改修します。<br>(改修資材10)
23	0	給糧艦「伊良湖」5	0,0,0,0,0,0,0,0	1000	給糧艦「伊良湖」召喚 甘いスイーツで何人かの艦娘の気分がたちまち高揚！(5回分)
24	0	戦闘糧食	0,0,0,0,0,0,0,0	300	激しい戦闘のお供に心尽くしの「戦闘糧食」をどうぞ！(3回分)
25	0	洋上補給	0,0,0,0,0,0,0,0	300	使用には「給油艦/補給艦」の運用が必要です。(2回分)
26	0	補強増設	0,0,0,0,0,0,0,0	500	練度30以上の艦娘を補強増設改修できます。(1回分)
27	0	設営隊	0,0,0,0,0,0,0,0	800	飛行場などの設営/拡張に必要です。<br>(※最大計10個まで保有可能)
