Update: 2017-02-12

### Player ships
ID	Name	Graphic Name	Missing?	Comment
1	睦月	snohitatusbk		
2	如月	wujywbyjntbp		
3		mhqqhhvvpzxg		Christmas 那珂
4		rzgndzraoddu		??? 弥生
5		hbhkiyykheeq	*404	
6	長月	kksiqffpclxh		
7	三日月	ujhxqqlcorxv		
8		boxlrnnmjkhb	*404	
9	吹雪	gyckjmemgqoe		
10	白雪	xqnkdultpvaf		
11	深雪	cdidanqovcfr		
12	磯波	ljesxnctkmmf		
13	綾波	icpexclhwthr		
14	敷波	gcbiuhgmgjbm		
15	曙	fwptxiocqkyd		
16	潮	xqjemfzdbjox		
17	陽炎	nkvvrszimkre		
18	不知火	louolngpmrwj		
19	黒潮	ihengpjwmfrt		
20	雪風	pueufyccujmd		
21	長良	debsnofmttkx		
22	五十鈴	tcqsalkhzurk		
23	由良	shjlydqjdfcl		
24	大井	yomyfjkhndny		
25	北上	oxqlrctsmegi		
26	扶桑	ubntuiyurxwk		
27	山城	dyurkaeenkdh		
28	皐月	qvmfwjitflgw		
29	文月	pjkwpxniwgge		
30	菊月	jatvhskutlck		
31	望月	isiuepygxdzq		
32	初雪	pxogwcltgjkn		
33	叢雲	hpfcwdqxgyvl		
34	暁	mtvkfikepcfr		
35	響	nfzmalhtwved		
36	雷	aejfywpsegbv		
37	電	uuilouoffjoj		
38	初春	nlobofyxzvku		
39	子日	zgerairddhko		
40	若葉	ihuijkvksqky		
41	初霜	qngptlxhrwhj		
42	白露	ahztpphnuvco		
43	時雨	kclrmkyzpnpc		
44	村雨	fhaelooubkbi		
45	夕立	pnpixtolsebg		
46	五月雨	tyjrubumfpxy		
47	涼風	qaryaychpubb		
48	霰	oiknslickotp		
49	霞	qukusrsftcgy		
50	島風	uffgxggsrtti		
51	天龍	vswgjojfoqdc		
52	龍田	qvqlfmytkmor		
53	名取	bqwjdltjktls		
54	川内	nehcyhpiviue		
55	神通	icmlpbiditqy		
56	那珂	vopfxipptsrt		
57	大井改	gonohkjynpmb		
58	北上改	jdqefjcpslli		
59	古鷹	sfbwblstvfmw		
60	加古	vkmjguonqcsg		
61	青葉	bhyiqjjifflp		
62	妙高	grppcbegkphv		
63	那智	wnkageqzigwd		
64	足柄	opprvckvhrkv		
65	羽黒	lvfswfzywnql		
66	高雄	eqpvjbnbjlhy		
67	愛宕	aqpnbsizhjij		
68	摩耶	gpshoozxgutk		
69	鳥海	qmmdyeprdqsu		
70	最上	lcmobkdeizph		
71	利根	kmcllyhenjnk		
72	筑摩	gcqjowlpkbde		
73	最上改	ethdbrvnuznc		
74	祥鳳	qihrkkfwekpo		
75	飛鷹	sdiauxhgyfkj		
76	龍驤	iyondwbusgym		
77	伊勢	skgpomqtcedb		
78	金剛	oygjwmgvcdyv		
79	榛名	vzgrqylbwegp		
80	長門	jnxoytktolbb		
81	陸奥	jkjqeleyhbus		
82	伊勢改	guwzhmxxnwol		
83	赤城	uswetrxvttms		
84	加賀	oeimwwkynzlt		
85	霧島	icwowutxbvgh		
86	比叡	bxzhnjffdppv		
87	日向	cfqmhviykuup		
88	日向改	jprpbvbeillv		
89	鳳翔	bwgbubdrhvfg		
90	蒼龍	nppdykjbwmkx		
91	飛龍	gobumojesgfi		
92	隼鷹	ltdlvothcqnr		
93	朧	jqexjuembtvh		
94	漣	lnarycubyzrr		
95	朝潮	eeyrwdehbixg		
96	大潮	svcuufdqcqmy		
97	満潮	fhpgicaysllm		
98	荒潮	vksjkggcuvik		
99	球磨	zrmviexnupjy		
100	多摩	jiftwdxqwtin		
101	木曾	veulocbvzaqy		
102	千歳	dkmxevqgbxmr		
103	千代田	cayfwlehtvgj		
104	千歳改	wvkpfygaipjq		
105	千代田改	tsfbgfyeqxhg		
106	千歳甲	ttkeodhvrmog		
107	千代田甲	agybvcshxbpm		
108	千歳航	wlvvcpnulyer		
109	千代田航	rsmzverhwskc		
110	翔鶴	pdricqoovxfe		
111	瑞鶴	suivtkpjnmpt		
112	瑞鶴改	ihwgeegenykh		
113	鬼怒	rgribyhrzjjl		
114	阿武隈	sgwumdfgzais		
115	夕張	hieimxbtcqrt		
116	瑞鳳	ktexichqewel		
117	瑞鳳改	xmzltsferzto		
118	大井改二	khtgrpfyurcm		
119	北上改二	cqtlanpwihpj		
120	三隈	oqqerytyeisg		
121	三隈改	yyvxfxdusxlx		
122	舞風	emjpbjscgcvf		
123	衣笠	tyumrhcigliq		
124	鈴谷	lvmlqrzbobpe		
125	熊野	mlzpthwviwnf		
126	伊168	wmzbyvhflrhy		
127	伊58	fqbwbmmdcjby		
128	伊8	zoaptkoerfpv		
129	鈴谷改	oyjqdsswurhl		
130	熊野改	pcdygwofwfib		
131	大和	liqjxscjkogx		
132	秋雲	khxsxmiuccsf		
133	夕雲	jtfihmyrvmiw		
134	巻雲	piobwloefpcz		
135	長波	xwvykvklvvqk		
136	大和改	drdaipjrohfl		
137	阿賀野	ljzijyhhgrnx		
138	能代	lpiecumljbyp		
139	矢矧	hmivswfdmdem		
140	酒匂	vrtbgpzuepqx		
141	五十鈴改二	nnkmuxqyewyk		
142	衣笠改二	ykrokmtrnaqw		
143	武蔵	ilxnmfogntbo		
144	夕立改二	lngqiqvigduj		
145	時雨改二	ogkwigciybxf		
146	木曾改二	gpfqngdreebe		
147	Верный	gmqsmiszmftf		
148	武蔵改	eqgvmdsvjerq		
149	金剛改二	wugwvdccggcp		
150	比叡改二	mhpalcnpxmgz		
151	榛名改二	ilxltdgucgbg		
152	霧島改二	kspwuqsyhipy		
153	大鳳	ysidnchjxvfc		
154	香取	jtyqmhgstese		
155	伊401	hmiwrqvijwvv		
156	大鳳改	vsnkqdgtcjbs		
157	龍驤改二	mslkutojcolj		
158	川内改二	qpnrcirsvqcr		
159	神通改二	xyqotgpmnjih		
160	那珂改二	lvjcqqulbluo		
161	あきつ丸	nvnwjedsdgcl		
162		jqvoyyolpqgv	*404	
163	まるゆ	joaeulumcgbh		
