Update: 2017-05-15

ID	Name	Repair multiple	Build siluet	English	Comment
1	海防艦	1	2	Coastal Defence Ship (DE)	
2	駆逐艦	2	3	Destroyer (DD)	
3	軽巡洋艦	2	3	Light Cruiser (CL)	
4	重雷装巡洋艦	2	3	Torpedo Cruiser (CLT)	
5	重巡洋艦	3	4	Heavy Cruiser (CA)	
6	航空巡洋艦	3	4	Aviation Cruiser (CAV)	
7	軽空母	3	4	Light Aircraft Carrier (CVL)	
8	戦艦	3	4	Battleship (BB)	Fast Battleship
9	戦艦	4	5	Battleship (BB)	Slow Battleship
10	航空戦艦	4	5	Aviation Battleship (BBV)	
11	正規空母	4	5	Regular Aircraft Carrier (CV)	
12	超弩級戦艦	4	5	Super Dreadnought Battleship	No ships yet
13	潜水艦	1	3	Submarine (SS)	
14	潜水空母	2	5	Submarine Aircraft Carrier (SSV)	
15	補給艦	1	2	Fleet Oiler (AO)	Enemy Fleet Oiler
16	水上機母艦	2	3	Seaplane Tender (AV)	
17	揚陸艦	2	5	Amphibious Assault Ship (LHA)	
18	装甲空母	4	5	Armored Aircraft Carrier (CVB)	
19	工作艦	4	5	Repair Ship (AR)	
20	潜水母艦	3	5	Submarine Tender (AS)	
21	練習巡洋艦	2	3	Training Cruiser (CT)	
22	補給艦	2	3	Fleet Oiler (AO)	Player Fleet Oiler
