Update: 2017-12-29

### Type
0	使用不可
1	高速修復材
2	高速建造材
3	開発資材
4	使用可能
etc	ETC.

ID	Type	Category	Name	Price (?)
1	1	1	高速修復材	0
2	2	2	高速建造材	0
3	3	3	開発資材	0
4	3	4	改修資材	0
5	4	4		0
6	4	4		0
7	4	5		0
8	4	5		0
9	4	5		0
10	4	6	家具箱（小）	0
11	4	6	家具箱（中）	0
12	4	6	家具箱（大）	0
13	4	7		0
14	4	7		0
15	4	8		0
16	5	9		0
17	5	9		0
18	5	10		0
19	5	10		0
20	5	11		0
21	5	11		0
22	5	11		0
23	5	12		0
24	5	12		0
25	5	13		0
26	5	13		0
27	5	14		0
28	5	15		0
29	5	15		0
30	5	15		0
31	6	16	燃料	0
32	6	17	弾薬	0
33	6	18	鋼材	0
34	6	19	ボーキサイト	0
35	7	20		0
36	7	20		0
37	7	20		0
38	7	20		0
39	7	20		0
40	7	20		0
41	7	20		0
42	7	20		0
43	7	20		0
44	6	21	家具コイン	0
45	6	16		0
46	6	17		0
47	6	18		0
48	6	19		0
49	0	0	ドック開放キー	0
50	0	0	応急修理要員	0
51	0	0	応急修理女神	0
52	0	0	特注家具職人	0
53	0	0	母港拡張	0
54	0	0	給糧艦「間宮」	0
55	0	0	書類一式＆指輪	0
56	4	0	艦娘からのチョコ	0
57	4	0	勲章	0
58	0	0	改装設計図	0
59	0	0	給糧艦「伊良湖」	0
60	4	0	プレゼント箱	0
61	4	0	甲種勲章	0
62	4	0	菱餅	0
63	4	0	司令部要員	0
64	0	0	補強増設	0
65	0	0	試製甲板カタパルト	0
66	0	0	戦闘糧食	0
67	0	0	洋上補給	0
68	4	0	秋刀魚	0
69	0	0	秋刀魚の缶詰	0
70	0	0	熟練搭乗員	0
71	0	0	ネ式エンジン	0
72	4	0	お飾り材料	0
73	0	0	設営隊	0
74	0	0	新型航空機設計図	0
75	0	0	新型砲熕兵装資材	0
76	0	0	戦闘糧食(特別なおにぎり)	0
77	0	0	新型航空兵装資材	0
78	0	0	戦闘詳報	0
79	0	0	海峡章	0
80	4	0	Xmas Select Gift Box	0
